# Lista de fotos esperadas para Pedidos Famat
# Colocá cada foto en images/productos/ con el nombre indicado (jpg recomendado).
# También se aceptan .webp o .png si renombrás o ajustás luego.
# Total: 342 productos

aerosol-ambar.jpg  |  producto  |  LINEA SAPHIRUS - AMBAR  |  Aerosol ambar
pulverizador-multiuso-500cc.jpg  |  producto  |  LINEA PULVERIZADOR  |  Pulverizador multiuso 500cc
pulverizador-multiuso-750cc.jpg  |  producto  |  LINEA PULVERIZADOR  |  Pulverizador multiuso 750cc
pulverizador-multiuso-1l.jpg  |  producto  |  LINEA PULVERIZADOR  |  Pulverizador multiuso 1L
repelente-off.jpg  |  producto  |  LINEA REPELENTE - ESPIRAL - TABLETAS  |  Repelente off
repelente-911.jpg  |  producto  |  LINEA REPELENTE - ESPIRAL - TABLETAS  |  repelente 911
tabletas-p-mosquitos-x12.jpg  |  producto  |  LINEA REPELENTE - ESPIRAL - TABLETAS  |  Tabletas P/mosquitos x12
tabletas-p-mosquitos-c-u.jpg  |  producto  |  LINEA REPELENTE - ESPIRAL - TABLETAS  |  Tabletas P/mosquitos C/U
raid-espiral-x-unidad.jpg  |  producto  |  LINEA REPELENTE - ESPIRAL - TABLETAS  |  Raid espiral x unidad
raid-espiral-x12.jpg  |  producto  |  LINEA REPELENTE - ESPIRAL - TABLETAS  |  Raid espiral x12
rejilla-bar-especial-linea-10.jpg  |  producto  |  LINEA REJILLAS  |  Rejilla bar especial linea 10
rejillas-microfibra-60x40.jpg  |  producto  |  LINEA REJILLAS  |  Rejillas microfibra 60x40
rejillas-esponjas-linea-10.jpg  |  producto  |  LINEA REJILLAS  |  Rejillas Esponjas linea 10
rejillas-lava-autos-liviana-linea-10.jpg  |  producto  |  LINEA REJILLAS  |  Rejillas lava autos liviana linea 10
rejilla-panos-multiusos-sueltos.jpg  |  producto  |  LINEA REJILLAS  |  Rejilla paños multiusos sueltos
repasadores-de-tolla-make.jpg  |  producto  |  LINEA REPASADORES  |  REPASADORES DE TOLLA Make
repasadores-tollas-fribran.jpg  |  producto  |  LINEA REPASADORES  |  Repasadores tollas fribran
repasadores-eco.jpg  |  producto  |  LINEA REPASADORES  |  Repasadores Eco
repasadores-toalla-mister-trapo.jpg  |  producto  |  LINEA REPASADORES  |  Repasadores toalla mister trapo
sapito-riego.jpg  |  producto  |  LINEA RIEGO  |  Sapito riego
manguera-15-mts-1-2.jpg  |  producto  |  LINEA RIEGO  |  Manguera 15 mts 1/2
manguera-25-mts-1-2.jpg  |  producto  |  LINEA RIEGO  |  Manguera 25 mts 1/2
carbon-neutro-sagrada-madre-c-u-caja-de-24.jpg  |  producto  |  LINEA SAHUMERIOS  |  Carbon neutro sagrada madre C/U (Caja de 24)
bomba-humo-sagrada-madre-x4.jpg  |  producto  |  LINEA SAHUMERIOS  |  Bomba humo sagrada madre x4
cono-cascada-x10.jpg  |  producto  |  LINEA SAHUMERIOS  |  Cono cascada x10
sahumerios-banglades-x10-finos.jpg  |  producto  |  LINEA SAHUMERIOS  |  sahumerios banglades x10 finos
sahumerios-triple-duracion-x-5-gruesos.jpg  |  producto  |  LINEA SAHUMERIOS  |  Sahumerios triple duracion x 5 gruesos
secador-doble-salzano-41cm.jpg  |  producto  |  LINEA SECADOR PARA PISO  |  Secador doble Salzano 41cm
secador-doble-salzano-35-cm.jpg  |  producto  |  LINEA SECADOR PARA PISO  |  Secador doble Salzano 35 cm
secador-doble-eco-house.jpg  |  producto  |  LINEA SECADOR PARA PISO  |  SECADOR DOBLE ECO house
secador-de-piso-salzano.jpg  |  producto  |  LINEA SECADOR PARA PISO  |  Secador de piso salzano
sopapa-grande20cm.jpg  |  producto  |  LINEA SOPAPA  |  Sopapa Grande20CM
sopapa-chica11cm.jpg  |  producto  |  LINEA SOPAPA  |  Sopapa Chica11CM
sopapa-c-mango.jpg  |  producto  |  LINEA SOPAPA  |  Sopapa C/mango
trampa-p-mosca.jpg  |  producto  |  LINEA TRAMPA P/MOSCA  |  Trampa P/mosca
trapo-de-pisos-blancos.jpg  |  producto  |  LINEA TRAPO PISO  |  Trapo de pisos blancos
trapo-de-pisos-consorcios-blanco-mt.jpg  |  producto  |  LINEA TRAPO PISO  |  Trapo de pisos consorcios blanco MT
trapo-de-pisos-consorcios-gris-mt.jpg  |  producto  |  LINEA TRAPO PISO  |  Trapo de pisos consorcios gris MT
trapo-de-pisos-gris-mt.jpg  |  producto  |  LINEA TRAPO PISO  |  Trapo de pisos gris MT
trapo-de-pisos-rayados-linea-10.jpg  |  producto  |  LINEA TRAPO PISO  |  Trapo de pisos rayados linea 10
